DEMAND_ID,facility_id,time_min,distance_m,facility_id_foot,time_min_foot,departamento_x,facility_id_bike,time_min_bike,departamento_y,ratio_foot_car,ratio_bike_car,cambia_establecimiento_auto_vs_pie
601,29146,2.0016142678954427,1211.4163572597984,29146.0,16.115675988714646,LAMBAYEQUE,29146.0,5.191784388256279,LAMBAYEQUE,8.051339484934402,2.5937986511832154,0.0
602,8653,31.48756404183008,30584.002857901047,520.0,401.33562851772797,JUNIN,520.0,125.20337944825164,JUNIN,12.745845565715031,3.9762802635962413,1.0
603,37783,124.2970193365656,60919.393163675035,,,LORETO,37783.0,261.08311355860724,LORETO,,2.1004776699564993,
605,432,16.237530323752207,10162.997310961868,432.0,135.50663081282488,JUNIN,432.0,43.55570276126514,JUNIN,8.345273456678706,2.682409325361012,0.0
606,4370,34.697074863041735,25834.31307672853,4370.0,351.156928450635,LAMBAYEQUE,4370.0,110.71848461455083,LAMBAYEQUE,10.120649358389478,3.1910034218038588,0.0
610,519,41.69742876594989,31042.82371264386,519.0,413.90431616858484,JUNIN,519.0,133.04067305418795,JUNIN,9.926375040817362,3.190620548834151,0.0
611,27857,39.19624793496734,21456.0116523408,27857.0,301.47045318765566,JUNIN,27857.0,91.95433565288914,JUNIN,7.6913089663031515,2.345998418151035,0.0
613,442,88.21953645225416,57897.167207270635,442.0,779.0724519921255,JUNIN,442.0,248.09432186400073,JUNIN,8.831064901522941,2.812237876564602,0.0
614,27857,85.83579884381562,87359.23406663559,27857.0,1177.4298780926767,JUNIN,27857.0,374.39671742843814,JUNIN,13.717235628401323,4.3617782145848,0.0
615,432,131.00403746340223,99239.12848731548,432.0,1321.2314521518274,JUNIN,432.0,425.3105506599234,JUNIN,10.085425439814642,3.2465453652811256,0.0
617,11470,2.911904737243395,2247.7390613392263,11470.0,35.610218593913146,LAMBAYEQUE,11470.0,9.63316740573954,LAMBAYEQUE,12.229183921594968,3.308201426554546,0.0
619,25383,87.9427348437055,59365.60090103763,25383.0,750.9572565437053,JUNIN,25383.0,241.36357969638945,JUNIN,8.539161965776131,2.744553943260329,0.0
621,442,209.87509059755357,197073.08442484224,442.0,2628.907295041923,JUNIN,442.0,844.5989332493237,JUNIN,12.52605674907362,4.024293358704899,0.0
622,4370,119.49703265928727,92174.2369081328,4370.0,1228.9898254417708,LAMBAYEQUE,4370.0,395.03244389199773,LAMBAYEQUE,10.284689067936066,3.3057929146937353,0.0
623,8656,66.85223533991949,50397.90018565426,8656.0,671.9720024753904,JUNIN,8656.0,215.9910007956612,JUNIN,10.051601102919824,3.2308717830813722,0.0
625,8653,55.16376647416768,39322.68618647793,8653.0,524.3024824863725,JUNIN,8653.0,168.5257979420482,JUNIN,9.504472156227676,3.055008907358894,0.0
630,27857,82.48450320482767,69434.17985237311,27857.0,936.5413654976091,JUNIN,27857.0,297.5750565101704,JUNIN,11.354149314228943,3.6076480423386226,0.0
631,8653,54.441291146185854,40267.531688853465,8653.0,536.900422518046,JUNIN,8653.0,172.5751358093719,JUNIN,9.862007516984855,3.1699309876022745,0.0
632,340,49.07308235327628,36132.81428275023,340.0,481.7708571033366,JUNIN,340.0,154.85491835464387,JUNIN,9.81741586222517,3.1555979557152325,0.0
633,27857,25.729737339744787,17416.058473774032,27857.0,232.214112983654,JUNIN,27857.0,74.64025060188872,JUNIN,9.025125671413376,2.900933251525726,0.0
634,4370,28.813279623165524,31848.554963761217,4370.0,424.6473995168159,LAMBAYEQUE,4370.0,136.49380698754794,LAMBAYEQUE,14.73790575285309,4.737183991988492,0.0
635,519,27.403177808243274,18147.168080135278,519.0,271.25530030326473,JUNIN,519.0,77.77357748629403,JUNIN,9.898680445071125,2.8381225721528764,0.0
636,365,59.876909745585614,36198.8055752462,27857.0,473.945968457164,JUNIN,27857.0,150.59452467789737,JUNIN,7.915337823393688,2.515068418155963,1.0
637,8653,58.2607406149415,39814.750371570044,8653.0,546.9666264712096,JUNIN,8653.0,170.63464444958603,JUNIN,9.388253920186779,2.928810081171972,0.0
638,519,26.07983464158734,22599.95336006506,519.0,324.2898631685708,JUNIN,519.0,96.85694297170738,JUNIN,12.43450610884828,3.7138633853627923,0.0
639,519,70.31493234806385,57082.38368448025,519.0,761.0984491264034,JUNIN,519.0,244.63878721920105,JUNIN,10.824136832826811,3.4791868391229035,0.0
640,753,13.526758162996176,11081.689064595295,8652.0,126.07670971539063,JUNIN,8652.0,43.5849545028392,JUNIN,9.320541418437296,3.2221286118702324,1.0
642,4370,21.866219303359838,16518.219020373723,4370.0,220.24292027164967,LAMBAYEQUE,4370.0,70.7923672301731,LAMBAYEQUE,10.072290834374298,3.2375220539060243,0.0
643,4370,31.8442177053625,33200.72504533527,4370.0,442.67633393780324,LAMBAYEQUE,4370.0,142.2888216228653,LAMBAYEQUE,13.901309745890146,4.468278132607546,0.0
644,519,9.480880755522337,7963.234562654233,519.0,106.17646083538978,JUNIN,519.0,34.128148125661,JUNIN,11.199008148430206,3.5996811905668515,0.0
649,1,69.40322717918625,53219.70082854352,1.0,709.5960110472472,LORETO,1.0,228.0844321223293,LORETO,10.224250944631178,3.286366375060019,0.0
650,519,29.44179504476146,25993.8690964991,519.0,346.58492128665466,JUNIN,519.0,111.40229612785329,JUNIN,11.771867875573777,3.7838146742915715,0.0
652,4370,57.49179629649842,67005.52539210283,4370.0,893.4070052280372,LAMBAYEQUE,4370.0,287.16653739472616,LAMBAYEQUE,15.539730235954565,4.994913290128252,0.0
653,519,34.53255427243908,31140.911117918866,519.0,415.21214823891825,JUNIN,519.0,133.4610476482237,JUNIN,12.023789058960661,3.8647893403802125,0.0
654,432,9.272385068511886,5766.233353226713,432.0,74.9261836973111,JUNIN,432.0,24.712428656685905,JUNIN,8.080572920957856,2.665164191746835,0.0
655,340,30.401050096367854,30341.38453522235,340.0,404.09184371675525,JUNIN,340.0,130.03450515095292,JUNIN,13.292035717050243,4.277303077977846,0.0
656,30057,46.42441178085283,52044.7113437547,30057.0,693.9294845833961,LAMBAYEQUE,30057.0,223.04876290180587,LAMBAYEQUE,14.947512697825902,4.804557652872611,0.0
