DEMAND_ID,UBIGEO,DISTRITO,PROVINCIA,DEPARTAMENTO,POBLACION_CP,ES_URBANO,time_min_car,ALCANZABLE
4316,120135,SANTO DOMINGO DE ACOBAMBA,HUANCAYO,JUNIN,268.1379310344828,False,160.40295143382033,True
4317,140107,LAGUNAS,CHICLAYO,LAMBAYEQUE,549.2631578947369,False,25.31081329745031,True
4318,120503,ONDORES,JUNIN,JUNIN,23.740259740259738,False,53.78249482298093,True
4319,120802,CHACAPALPA,YAULI,JUNIN,10.352941176470587,False,37.100708714374456,True
4320,160104,INDIANA,MAYNAS,LORETO,363.64516129032256,False,,False
4321,160301,NAUTA,LORETO,LORETO,567.2407407407408,False,102.55435769200375,True
4322,140115,SAÑA,CHICLAYO,LAMBAYEQUE,885.5,False,46.81950371658227,True
4323,160304,TROMPETEROS,LORETO,LORETO,533.1428571428572,False,,False
4324,120805,MOROCOCHA,YAULI,JUNIN,284.1333333333333,False,42.56165403568755,True
4325,120804,MARCAPOMACOCHA,YAULI,JUNIN,14.252747252747252,False,66.0617595067845,True
4326,120806,PACCHA,YAULI,JUNIN,58.89285714285714,False,33.64133816576662,True
4327,120608,RIO TAMBO,SATIPO,JUNIN,729.2738095238095,False,452.60530040938056,True
4328,120708,SAN PEDRO DE CAJAS,TARMA,JUNIN,153.21621621621622,False,23.79097553026952,True
4329,160402,PEBAS,MARISCAL RAMON CASTILLA,LORETO,346.1372549019608,False,,False
4330,140206,PUEBLO NUEVO,FERREÑAFE,LAMBAYEQUE,1047.6153846153848,False,15.254068704213589,True
4331,120807,SANTA BARBARA DE CARHUACAYAN,YAULI,JUNIN,24.989473684210523,False,84.91829091421674,True
4332,120301,CHANCHAMAYO,CHANCHAMAYO,JUNIN,654.3684210526316,False,14.452110721110873,True
4333,160201,YURIMAGUAS,ALTO AMAZONAS,LORETO,1234.1166666666666,False,,False
4334,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,2049.0769230769233,False,11.319066758139536,True
4335,160301,NAUTA,LORETO,LORETO,567.2407407407408,False,,False
4336,120708,SAN PEDRO DE CAJAS,TARMA,JUNIN,153.21621621621622,False,29.1501777458103,True
4337,120303,PICHANAQUI,CHANCHAMAYO,JUNIN,1118.71875,False,71.5360269805367,True
4338,160303,TIGRE,LORETO,LORETO,279.48387096774195,False,,False
4339,120303,PICHANAQUI,CHANCHAMAYO,JUNIN,1118.71875,False,3.0890670610793416,True
4340,160402,PEBAS,MARISCAL RAMON CASTILLA,LORETO,346.1372549019608,False,,False
4341,120704,HUASAHUASI,TARMA,JUNIN,296.11538461538464,False,127.7877451682352,True
4342,140306,MORROPE,LAMBAYEQUE,LAMBAYEQUE,1282.5675675675675,False,29.4483629591725,True
4343,120133,SAPALLANGA,HUANCAYO,JUNIN,858.6,False,16.87377408674698,True
4344,120608,RIO TAMBO,SATIPO,JUNIN,729.2738095238095,False,,False
4345,140201,FERREÑAFE,FERREÑAFE,LAMBAYEQUE,1710.4285714285716,False,30.795431264114924,True
4346,120415,MARCO,JAUJA,JUNIN,397.5,False,12.890375955267881,True
4347,160705,PASTAZA,DATEM DEL MARAÑON,LORETO,138.2127659574468,False,,False
4348,120401,JAUJA,JAUJA,JUNIN,2422.6666666666665,False,5.8635336314378925,True
4349,120705,LA UNION,TARMA,JUNIN,312.4,False,16.986734898709337,True
4350,160206,LAGUNAS,ALTO AMAZONAS,LORETO,520.8571428571429,False,,False
4351,160112,BELEN,MAYNAS,LORETO,2504.548387096774,False,,False
4352,160301,NAUTA,LORETO,LORETO,567.2407407407408,False,,False
4353,160112,BELEN,MAYNAS,LORETO,2504.548387096774,False,3.584292813271121,True
4354,160401,RAMON CASTILLA,MARISCAL RAMON CASTILLA,LORETO,595.7142857142858,False,,False
4355,120907,SAN JUAN DE JARPA,CHUPACA,JUNIN,513.8571428571429,False,58.49524312329967,True
4356,160302,PARINARI,LORETO,LORETO,666.4545454545455,False,,False
4357,140203,INCAHUASI,FERREÑAFE,LAMBAYEQUE,302.5576923076923,False,147.22923069579315,True
4358,160103,FERNANDO LORES,MAYNAS,LORETO,349.93220338983053,False,,False
4359,140112,PIMENTEL,CHICLAYO,LAMBAYEQUE,1706.4814814814818,False,3.2955058419165515,True
4360,140310,SALAS,LAMBAYEQUE,LAMBAYEQUE,200.86153846153846,False,86.42150367050694,True
4361,120114,EL TAMBO,HUANCAYO,JUNIN,6923.458333333333,False,2.158481773874618,True
4362,120803,HUAY-HUAY,YAULI,JUNIN,22.333333333333332,False,37.56118124257077,True
4363,120803,HUAY-HUAY,YAULI,JUNIN,22.333333333333332,False,11.55372444846607,True
4364,140304,JAYANCA,LAMBAYEQUE,LAMBAYEQUE,601.3000000000001,False,39.55028874942282,True
4365,160403,YAVARI,MARISCAL RAMON CASTILLA,LORETO,362.55555555555554,False,,False
4366,160305,URARINAS,LORETO,LORETO,293.6538461538462,False,,False
4367,160402,PEBAS,MARISCAL RAMON CASTILLA,LORETO,346.1372549019608,False,,False
4368,120504,ULCUMAYO,JUNIN,JUNIN,93.27419354838709,False,77.68708645249527,True
4369,120801,LA OROYA,YAULI,JUNIN,349.3611111111111,False,1.3780091316524528,True
4370,120809,SUITUCANCHA,YAULI,JUNIN,15.599999999999998,False,72.01510030274632,True
4371,120601,SATIPO,SATIPO,JUNIN,650.0597014925373,False,15.527770036770796,True
